code,name,account_type,reconcile
13510203,قروض خارجية معاد اقراضها عن طريق الخزانة,income,True
13510204,اقتراض لتمويل الاستثمارات,income,True
13510205,اقتراض من مصادر اخرى,income,True
13520000,الاقتراض واصدار الاوراق المالية الاجنبية,income,False
13520100,أصدار أوراق مالية بخلاف الاسهم,income,False
13520101,سندات على الخزانة العامة,income,True
13520102,اذون على الخزانة العامة,income,True
13520103,اخرى,income,True
13520200,الاقتراض,income,False
13520201,لتمويل الاستثمارات,income,True
13520202,لتمويل التزامات اخرى,income,True
13520203,لتمويل التزامات جارية,income,True
14000000,الموارد الداخلية,income,False
14900000,مويل الخزانة العامة,income,False
14910000,تحويلات من الخزانة العامة,income,False
14910100,تمويل الاستخدامات,income,False
14910101,المنصرف بمعرفة وحدة الخزانة العامة,income,True
20000000,لإستخدامات,expense,False
21000000,المصروفات,expense,False
21100000,الأجور وتعويضات العاملين,expense,False
21110000,الاجوروالبدلات النقدية والعينية,expense,False
21110100,الوظائف الدائمة,expense,False
21110101,المرتبات الأساسية,expense,True
21110102,تكاليف المعارين و تتحمل الموازنة مرتباتهم,expense,True
21110103,تكاليف الإجازات الدراسية,expense,True
21110104,تكاليف المنح التدريبية,expense,True
21110105,الأجر الوظيفى,expense,True
21110106,تكاليف أجور ومرتبات المخاطبين بأحكام القانون رقم (28) لسنة 2018,expense,True
21110200,الوظائف المؤقتة,expense,False
21110201,المكافآت الشاملة (خبراء وطنيين),expense,True
21110202,المكافآت الشاملة (خبراء واجانب),expense,True
21110203,أجور موسميين,expense,True
21110204,مكافآت الصبية,expense,True
21110205,مكافآت اطباء امتياز و اخصائى علاج طبيعى,expense,True
21110206,مكافآت الاساتذه المتفرغين,expense,True
21110207,مكافآت الاساتذه غير المتفرغين,expense,True
21110208,مكافآت مساعدى ومعاونى الوزراء,expense,True
21110300,المكافآت,expense,False
21110301,تعويض العاملين عن جهود غير عادية,expense,True
21110302,المكافآت التشجيعية,expense,True
21110303,تكاليف حافز الإثابة,expense,True
21110304,حوافز العاملين بالكادر العام,expense,True
21110305,حوافز العاملين بالكادرات الخاصة,expense,True
21110306,الحافز المالى الإضافى,expense,True
21110307,حوافز العلميين,expense,True
21110308,حافز جذب العمالة,expense,True
21110309,حافز تميز (ماجستير ودكتوراه),expense,True
21110310,مكافآت التدريس,expense,True
21110311,مكافآت الريادة العلمية و الاجتماعية,expense,True
21110312,مكافآت البحوث الاكاديمية و التطبيقية,expense,True
21110313,مكافآت الاشراف على الرسائل العلمية,expense,True
21110314,مكافآت الامتحانات,expense,True
21110315,مكافآت التصحيح,expense,True
21110316,مكافآت حضور جلسات و لجان,expense,True
21110317,مكافآت طوارئ للعسكريين,expense,True
21110318,مكافآت التدريب,expense,True
21110319,مكافآت محو الامية,expense,True
21110320,مكافآت ساعات البحث الزائدة عن النصاب,expense,True
21110321,مكافآت اخرى,expense,True
21110322,تكاليف حافز اثابة اضافى,expense,True
21110323,حوافز أداء المعلمين,expense,True
21110324,حافز جودة,expense,True
21110325,مكاقات المستشارين,expense,True
21110326,الحافز التعويضى,expense,True
21110327,حافز الميكنة وتحديث البيانات,expense,True
21110328,حافز اضافى,expense,True
21110329,حافز تكميلى للحد الأدنى,expense,True
21110330,حافز تطوير التعليم قبل الجامعى,expense,True
21110331,حافز الإدارة المدرسية,expense,True
21110400,بدلات نوعية,expense,False
21110401,بدل تمثيل الوظائف العليا,expense,True
21110402,بدل تمثيل لموظفين بالخارج,expense,True
21110403,بدل تمثيل لموظفين فنيين,expense,True
21110404,بدل طبيعة عمل للاطباء,expense,True
21110405,بدل تسجيل الاطباء المقيمين,expense,True
21110406,بدل حرمان للصيادلة و الحكيمات و المولدات و الممرضات و الزائرات الصحيات و المفتشات,expense,True
21110407,بدل عدوى ووقاية من الاشعة,expense,True
21110408,بدل تفرغ للمهندسين,expense,True
21110409,بدل تفرغ للمحامين,expense,True
21110410,بدل تفرغ لموظفين فنيين,expense,True
21110411,بدل تفرغ للمهندسين الزراعيين,expense,True
21110412,بدل تفرغ للاطباء البيطريين,expense,True
21110413,بدل تفرغ للتجاريين,expense,True
21110414,بدلات عسكرية,expense,True
21110415,بدل طبيعة عمل,expense,True
21110416,بدل تفتيش,expense,True
21110417,بدل امتياز,expense,True
21110418,بدل عمادة ووكالة و رئاسة قسم,expense,True
21110419,بدل صيارف و تحصيل و بدل عجز للصيارف,expense,True
21110420,بدل اختزال,expense,True
21110421,بدل خطر,expense,True
21110422,بدل لمكافحة المخدرات,expense,True
21110423,بدل سماعة للتليفون و اللاسلكى,expense,True
21110424,بدل غطاسة,expense,True
21110425,بدل قيادة,expense,True
21110426,بدل صناعة,expense,True
21110427,بدلات مهنية وفنية اخرى,expense,True
21110428,بدل اقامة بالجهات النائية,expense,True
21110429,بدل قرية للاخصائيين و الحكيمات و الباحثين الاجتماعيين,expense,True
21110430,بدل سودان,expense,True
21110431,بدل اغتراب,expense,True
21110432,بدل مناخ,expense,True
21110433,بدل سكن فى الداخل و الخارج,expense,True
21110434,بدل ماجستير ودكتوراه,expense,True
21110435,بدل بحث,expense,True
21110436,بدل استقبال و ضيافة,expense,True
21110437,بدل مراسلة,expense,True
21110438,بدل أغذية,expense,True
21110439,بدل ملابس,expense,True
21110440,بدل انتقال نقدى ثابت ونظير عدم تخصيص سيارات ركوب حكومية,expense,True
21110441,بدل قضاء,expense,True
21110442,بدل جامعة,expense,True
21110443,بدل يخص العلاقات الثقافية والتعاون الخارجى,expense,True
21110444,بدل تفرغ فنانين تشكيليين,expense,True
21110445,بدل معلم (تدريس),expense,True
21110446,بدل اعتماد (معلمين),expense,True
21110447,بدلات مختلفة أخرى,expense,True
21110448,بدل مخاطر مهن طبية,expense,True
21110449,بدل تمثيل إضافى,expense,True
21110500,مزايا نقدية,expense,False
21110501,اعانة غلاء المعيشة,expense,True
21110502,علاوة اجتماعية,expense,True
21110503,علاوة اجتماعية اضافية,expense,True
21110504,تكاليف تعويض العاملات بما يعادل 25% من المرتب الشهرى,expense,True
21110505,العلاوة الخاصة,expense,True
21110506,المنحة الشهرية,expense,True
21110507,مزايا نقدية أخرى,expense,True
21110508,علاوة الحد الأدنى,expense,True
21110509,علاوة مقابل الأعباء الوظيفية للمعلمين,expense,True
21110510,تكاليف المقابل النقدى لرصيد الاجازات الاعتيادية,expense,True
21110511,غلاء معيشة إستثنائية,expense,True
21110512,الحد الأدنى للحزمة الإجتماعية,expense,True
21110513,"علاوة الحد الأدنى للأجور من حاملي الشهادة العلمية ""ماجستير ودكتوراة""",expense,True
21110600,المزايا العينية,expense,False
21110601,أغذية للعاملين,expense,True
21110602,ملابس للعاملين,expense,True
21110603,علاج طبى للعاملين,expense,True
21110604,خدمات اجتماعية ورياضية للعاملين,expense,True
21110605,اخرى,expense,True
21120000,المزايا التأمينية,expense,False
21120100,حصة الحكومة فى صندوق التأمين الاجتماعى للحكومة,expense,False
21120101,التأمين ضد الشيخوخة والعجز والوفاة,expense,True
21120102,حصة الحكومة فى اشتراكات نظام المكافآت,expense,True
21120103,اشتراكات المدة السابقة,expense,True
21120104,تكاليف مساهمة الحكومة فى التأمين على العاملات فى اجازة لرعاية أطفالهن,expense,True
21120200,مزايا تأمينية أخرى,expense,False
21120201,التأمين ضد المرض,expense,True
21120202,التأمين ضد اصابة العمل,expense,True
21120203,التأمين ضد المرض (تأمين صحي شامل),expense,True
21120204,التأمين ضد إصابة العمل (تأمين صحي شامل),expense,True
21130000,الأجور الإجمالية والاحتياطيات العامة,expense,False
21130100,الأجور الإجمالية,expense,False
21130101,أجور إجمالية مدرجة بموازنات الجهات,expense,True
21130102,اعتمادات أجور للحسابات والصناديق الخاصة,expense,True
21130200,المتطلبات الإضافية للأجور,expense,False
21130201,احتياطيات عامة للأجور,expense,True
21130202,المتطلبات الإضافية الأخرى للأجور,expense,True
